date,t,p
2019.6.12,33,758
2019.6.13,32,757
2019.6.14,22,763
2019.6.15,25,761
2019.6.16,24,758
2019.6.17,23,762
2019.6.18,24,764
2019.6.19,28,758
2019.6.20,29,755
2019.6.21,25,758
2019.6.22,21,765
2019.6.23,22,765
2019.6.24,25,768
2019.6.25,28,768
2019.6.26,31,761
2019.6.27,21,758
2019.6.28,20,761
2019.6.29,23,760
2019.6.30,28,757
2019.7.1,22,755
2019.7.2,16,756
2019.7.3,16,759
2019.7.4,16,760
2019.7.5,17,752
2019.7.6,18,752
2019.7.7,14,749
2019.7.8,19,752
2019.7.9,15,752
2019.7.10,15,754
2019.7.11,19,755
2019.7.12,20,755
2019.7.13,21,755
2019.7.14,20,757
2019.7.15,23,757
2019.7.16,15,752
2019.7.17,19,754
2019.7.18,21,757
2019.7.19,24,758
2019.7.20,27,759
2019.7.21,23,759
2019.7.22,21,762
2019.7.23,23,761
2019.7.24,25,761
2019.7.25,25,761
2019.7.26,25,759
2019.7.27,23,758
2019.7.28,29,754
2019.7.29,24,752
2019.7.30,27,752
2019.7.31,20,759
2019.8.1,17,759
2019.8.2,19,757
2019.8.3,20,757
2019.8.4,20,757
2019.8.5,22,756
2019.8.6,25,754
2019.8.7,25,753
2019.8.8,21,752
2019.8.9,17,755
2019.8.10,19,758
2019.8.11,26,759
2019.8.12,26,757
2019.8.13,22,757
2019.8.14,19,758
2019.8.15,22,759
2019.8.16,25,758
2019.8.17,26,758
2019.8.18,27,755
2019.8.19,24,759
2019.8.20,22,764
2019.8.21,18,766
2019.8.22,22,770
2019.8.23,24,769
2019.8.24,27,767
2019.8.25,28,767
2019.8.26,28,767
2019.8.27,29,766
2019.8.28,30,763
2019.8.29,27,760
2019.8.30,26,764
2019.8.31,24,764
2019.9.1,23,756
2019.9.2,18,759
2019.9.3,19,762
2019.9.4,23,760
2019.9.5,25,756
2019.9.6,20,764
2019.9.7,21,763
2019.9.8,20,760
2019.9.9,26,758
2019.9.10,18,759
2019.9.11,21,765
2019.9.12,20,766
2019.9.13,19,761
2019.9.14,17,767
2019.9.15,18,756
2019.9.16,17,754
2019.9.17,9,750
2019.9.18,13,755
2019.9.19,11,761
2019.9.20,13,765
2019.9.21,15,761
2019.9.22,15,759
2019.9.23,13,764
2019.9.24,15,761
2019.9.25,16,756
2019.9.26,18,757
2019.9.27,20,758
2019.9.28,17,755
2019.9.29,16,750
2019.9.30,16,737
2019.10.1,13,749
2019.10.2,10,748
2019.10.3,11,754
2019.10.4,12,755
2019.10.5,6,759
2019.10.6,8,762
2019.10.7,6,760
2019.10.8,8,755
2019.10.9,15,752
2019.10.10,11,751
2019.10.11,12,755
2019.10.12,14,752
2019.10.13,14,759
2019.10.14,21,757
2019.10.15,19,758
2019.10.16,20,752
2019.10.17,16,758
2019.10.18,16,758
2019.10.19,16,758
2019.10.20,19,758
2019.10.21,19,762
2019.10.22,17,764
2019.10.23,15,764
2019.10.24,15,760
2019.10.25,15,759
2019.10.26,17,758
2019.10.27,12,753
2019.10.28,7,758
2019.10.29,7,763
2019.10.30,7,767
2019.10.31,5,765
2019.11.1,8,762
2019.11.2,6,746
2019.11.3,12,744
2019.11.4,14,739
2019.11.5,11,741
2019.11.6,9,744
2019.11.7,7,752
2019.11.8,6,758
2019.11.9,10,753
2019.11.10,8,757
2019.11.11,8,758
2019.11.12,9,756
2019.11.13,11,751
2019.11.14,7,758
2019.11.15,10,761
2019.11.16,9,758
2019.11.17,9,763
2019.11.18,10,758
2019.11.19,12,763
2019.11.20,7,767
2019.11.21,5,766
2019.11.22,2,765
2019.11.23,0,764
2019.11.24,1,763
2019.11.25,-1,761
2019.11.26,0,758
2019.11.27,3,752
2019.11.28,7,745
2019.11.29,8,742
2019.11.30,2,757
2019.12.1,1,762
2019.12.2,1,755
2019.12.3,2,763
2019.12.4,6,760
2019.12.5,3,761
2019.12.6,2,752
2019.12.7,4,745
2019.12.8,8,747
2019.12.9,9,746
2019.12.10,4,755
2019.12.11,1,761
2019.12.12,1,752
2019.12.13,3,744
2019.12.14,5,743
2019.12.15,4,749
2019.12.16,6,757
2019.12.17,5,755
2019.12.18,10,755
2019.12.19,2,767
2019.12.20,6,752
2019.12.21,7,742
2019.12.22,7,741
2019.12.23,6,748
2019.12.24,6,752
2019.12.25,5,755
2019.12.26,5,759
2019.12.27,2,764
2019.12.28,0,774
2019.12.29,0,775
2019.12.30,5,761
2019.12.31,6,755
2020.1.1,3,765
2020.1.2,3,763
2020.1.3,2,758
2020.1.4,3,751
2020.1.5,3,767
2020.1.6,2,765
2020.1.7,3,765
2020.1.8,4,761
2020.1.9,5,761
2020.1.10,8,755
2020.1.11,4,767
2020.1.12,4,759
2020.1.13,6,761
2020.1.14,5,759
2020.1.15,7,758
2020.1.16,7,767
2020.1.17,5,769
2020.1.18,4,762
2020.1.19,3,770
2020.1.20,4,777
2020.1.21,5,767
2020.1.22,6,760
2020.1.23,1,764
2020.1.24,4,758
2020.1.25,6,758
2020.1.26,3,761
2020.1.27,2,757
2020.1.28,4,746
2020.1.29,4,743
2020.1.30,4,749
2020.1.31,4,743
2020.2.1,9,745
2020.2.2,6,743
2020.2.3,5,749
2020.2.4,1,746
2020.2.5,2,765
2020.2.6,5,759
2020.2.7,2,770
2020.2.8,4,767
2020.2.9,7,759
2020.2.10,9,734
2020.2.11,2,737
2020.2.12,4,746
2020.2.13,3,754
2020.2.14,5,759
2020.2.15,5,765
2020.2.16,9,755
2020.2.17,10,755
2020.2.18,6,755
2020.2.19,6,755
2020.2.20,7,761
2020.2.21,3,756
2020.2.22,5,754
2020.2.23,6,749
2020.2.24,7,755
2020.2.25,4,743
2020.2.26,8,740
2020.2.27,3,745
2020.2.28,2,752
2020.2.29,6,751
2020.3.1,10,746
2020.3.2,9,746
2020.3.3,8,749
2020.3.4,7,753
2020.3.5,8,753
2020.3.6,8,750
2020.3.7,7,752
2020.3.8,6,761
2020.3.9,10,758
2020.3.10,9,754
2020.3.11,9,746
2020.3.12,10,743
2020.3.13,9,751
2020.3.14,1,763
2020.3.15,5,767
2020.3.16,9,761
2020.3.17,7,767
2020.3.18,16,763
2020.3.19,10,764
2020.3.20,8,765
2020.3.21,5,769
2020.3.22,4,775
2020.3.23,4,779
2020.3.24,6,778
2020.3.25,9,776
2020.3.26,11,774
2020.3.27,15,769
2020.3.28,17,761
2020.3.29,2,761
2020.3.30,5,763
2020.3.31,4,765
2020.4.1,4,757
2020.4.2,7,752
2020.4.3,8,751
2020.4.4,8,765
2020.4.5,13,773
2020.4.6,17,772
2020.4.7,21,767
2020.4.8,17,770
2020.4.9,15,759
2020.4.10,13,765
2020.4.11,13,769
2020.4.12,17,759
2020.4.13,8,751
2020.4.14,5,757
2020.4.15,8,755
2020.4.16,11,753
2020.4.17,10,759
2020.4.18,10,761
2020.4.19,11,762
2020.4.20,12,767
2020.4.21,15,768
2020.4.22,17,768
2020.4.23,18,762
2020.4.24,17,751
2020.4.25,11,750
2020.4.26,13,754
2020.4.27,16,755
2020.4.28,21,748
2020.4.29,10,753
2020.4.30,16,755
2020.5.1,18,751
2020.5.2,17,750
2020.5.3,14,756
2020.5.4,16,759
2020.5.5,16,755
2020.5.6,16,755
2020.5.7,15,759
2020.5.8,16,759
2020.5.9,19,758
2020.5.10,20,755
2020.5.11,10,748
2020.5.12,10,755
2020.5.13,9,755
2020.5.14,13,758
2020.5.15,14,758
2020.5.16,14,758
2020.5.17,13,758
2020.5.18,15,761
2020.5.19,11,758
2020.5.20,13,762
2020.5.21,13,764
2020.5.22,15,765
2020.5.23,19,764
2020.5.24,15,761
2020.5.25,16,765
2020.5.26,16,770
2020.5.27,20,769
2020.5.28,14,766
2020.5.29,18,765
2020.5.30,19,761
2020.5.31,21,761
2020.6.1,18,763
2020.6.2,19,758
2020.6.3,16,753
2020.6.4,18,749
2020.6.5,22,745
2020.6.6,18,751
2020.6.7,23,755
2020.6.8,22,755
2020.6.9,17,760
2020.6.10,19,758
2020.6.11,26,756
2020.6.12,27,757
2020.6.13,20,760
2020.6.14,19,759
2020.6.15,17,758
2020.6.16,23,758
2020.6.17,27,757
2020.6.18,29,754
2020.6.19,26,755
2020.6.20,28,756
2020.6.21,26,758
2020.6.22,25,758
2020.6.23,19,762
2020.6.24,27,765
2020.6.25,28,767
2020.6.26,29,764
2020.6.27,25,757
2020.6.28,26,755
2020.6.29,22,755
2020.6.30,22,752
2020.7.1,19,752
2020.7.2,22,753
2020.7.3,16,757
2020.7.4,24,758
2020.7.5,23,754
2020.7.6,24,751
2020.7.7,16,757
2020.7.8,15,757
2020.7.9,15,760
2020.7.10,21,755
2020.7.11,18,761
2020.7.12,14,764
2020.7.13,21,762
2020.7.14,21,761
2020.7.15,24,758
2020.7.16,25,755
2020.7.17,26,760
2020.7.18,27,763
2020.7.19,28,761
2020.7.20,28,757
2020.7.21,20,760
2020.7.22,18,760
2020.7.23,16,758
2020.7.24,19,756
2020.7.25,21,756
2020.7.26,26,758
2020.7.27,21,761
2020.7.28,26,755
2020.7.29,19,758
2020.7.30,18,759
2020.7.31,16,757
2020.8.1,21,759
2020.8.2,22,758
2020.8.3,22,755
2020.8.4,19,755
2020.8.5,22,763
2020.8.6,25,767
2020.8.7,29,767
2020.8.8,30,764
2020.8.9,30,762
2020.8.10,28,761
2020.8.11,24,764
2020.8.12,22,764
2020.8.13,23,761
2020.8.14,27,760
2020.8.15,28,761
2020.8.16,29,761
2020.8.17,28,758
2020.8.18,20,755
2020.8.19,25,752
2020.8.20,25,756
2020.8.21,27,760
2020.8.22,29,756
2020.8.23,24,756
2020.8.24,21,756
2020.8.25,21,754
2020.8.26,16,749
2020.8.27,19,749
2020.8.28,20,755
2020.8.29,18,751
2020.8.30,20,755
2020.8.31,15,755
2020.9.1,19,761
2020.9.2,17,758
2020.9.3,19,760
2020.9.4,20,761
2020.9.5,20,757
2020.9.6,16,758
2020.9.7,16,761
2020.9.8,15,761
2020.9.9,21,761
2020.9.10,17,758
2020.9.11,17,762
2020.9.12,21,761
2020.9.13,19,764
2020.9.14,18,767
2020.9.15,26,767
2020.9.16,27,758
2020.9.17,15,764
2020.9.18,17,767
2020.9.19,18,765
2020.9.20,19,765
2020.9.21,21,762
2020.9.22,23,758
2020.9.23,25,754
2020.9.24,23,752
2020.9.25,24,749
2020.9.26,24,746
2020.9.27,23,749
2020.9.28,16,760
2020.9.29,17,760
2020.9.30,18,758
2020.10.1,19,754
2020.10.2,17,755
2020.10.3,17,753
2020.10.4,23,748
2020.10.5,21,755
2020.10.6,18,753
2020.10.7,19,754
2020.10.8,11,761
2020.10.9,13,759
2020.10.10,16,759
2020.10.11,12,761
2020.10.12,11,760
2020.10.13,9,758
2020.10.14,10,752
2020.10.15,11,757
2020.10.16,9,761
2020.10.17,8,760
2020.10.18,8,751
2020.10.19,7,760
2020.10.20,10,764
2020.10.21,12,756
2020.10.22,16,754
2020.10.23,14,755
2020.10.24,13,755
2020.10.25,15,758
2020.10.26,13,754
2020.10.27,15,755
2020.10.28,13,758
2020.10.29,12,755
2020.10.30,10,758
2020.10.31,11,765
2020.11.1,12,762
2020.11.2,9,756
2020.11.3,14,762
2020.11.4,11,766
2020.11.5,10,767
2020.11.6,13,767
2020.11.7,10,769
2020.11.8,9,767
2020.11.9,7,771
2020.11.10,9,773
2020.11.11,6,771
2020.11.12,6,767
2020.11.13,6,764
2020.11.14,8,762
2020.11.15,10,761
2020.11.16,11,758
2020.11.17,9,764
2020.11.18,11,765
2020.11.19,11,754
2020.11.20,6,763
2020.11.21,2,769
2020.11.22,6,757
2020.11.23,6,758
2020.11.24,7,762
2020.11.25,8,762
2020.11.26,1,760
2020.11.27,6,759
2020.11.28,2,764
2020.11.29,2,764
2020.11.30,1,763
2020.12.1,1,766
2020.12.2,-1,767
2020.12.3,0,760
2020.12.4,4,753
2020.12.5,9,757
2020.12.6,3,761
2020.12.7,2,760
2020.12.8,-2,762
2020.12.9,-3,764
2020.12.10,-1,759
2020.12.11,1,756
2020.12.12,1,755
2020.12.13,0,758
2020.12.14,1,761
2020.12.15,1,762
2020.12.16,4,761
2020.12.17,6,767
2020.12.18,6,764
2020.12.19,5,767
2020.12.20,3,767
2020.12.21,3,765
2020.12.22,4,757
2020.12.23,6,757
2020.12.24,4,746
2020.12.25,3,754
2020.12.26,2,758
2020.12.27,1,755
2020.12.28,3,746
2020.12.29,5,740
2020.12.30,3,751
2020.12.31,2,754
2021.1.1,-2,755
2021.1.2,1,760
2021.1.3,0,764
2021.1.4,0,764
2021.1.5,1,761
2021.1.6,0,758
2021.1.7,2,753
2021.1.8,1,756
2021.1.9,-2,759
2021.1.10,-2,764
2021.1.11,0,760
2021.1.12,0,749
2021.1.13,0,749
2021.1.14,-3,756
2021.1.15,-8,761
2021.1.16,-8,756
2021.1.17,-16,764
2021.1.18,-10,763
2021.1.19,-7,758
2021.1.20,-3,752
2021.1.21,4,749
2021.1.22,5,743
2021.1.23,2,746
2021.1.24,1,744
2021.1.25,2,747
2021.1.26,0,748
2021.1.27,1,752
2021.1.28,0,748
2021.1.29,-2,744
2021.1.30,1,743
2021.1.31,-1,749
2021.2.1,-2,753
2021.2.2,-3,750
2021.2.3,1,752
2021.2.4,-3,756
2021.2.5,-1,763
2021.2.6,-8,766
2021.2.7,-11,766
2021.2.8,-11,758
2021.2.9,-8,753
2021.2.10,-11,755
2021.2.11,-10,764
2021.2.12,-8,770
2021.2.13,1,768
2021.2.14,1,769
2021.2.15,0,772
2021.2.16,-1,764
2021.2.17,-1,760
2021.2.18,-8,767
2021.2.19,-3,760
2021.2.20,2,766
2021.2.21,5,764
2021.2.22,10,765
2021.2.23,6,769
2021.2.24,12,770
2021.2.25,15,766
2021.2.26,9,762
2021.2.27,8,768
2021.2.28,5,767
2021.3.1,3,771
2021.3.2,6,770
2021.3.3,5,767
2021.3.4,3,755
2021.3.5,3,762
2021.3.6,3,765
2021.3.7,0,754
2021.3.8,1,760
2021.3.9,0,764
2021.3.10,3,764
2021.3.11,2,755
2021.3.12,7,746
2021.3.13,6,747
