date,t,p
2016.10.15,2,769
2016.10.16,7,773
2016.10.17,10,773
2016.10.18,8,767
2016.10.19,9,763
2016.10.20,8,764
2016.10.21,4,764
2016.10.22,3,761
2016.10.23,9,765
2016.10.24,5,765
2016.10.25,7,760
2016.10.26,8,767
2016.10.27,9,770
2016.10.28,9,760
2016.10.29,10,758
2016.10.30,7,760
2016.10.31,6,763
2016.11.1,3,759
2016.11.2,7,745
2016.11.3,4,754
2016.11.4,4,761
2016.11.5,6,756
2016.11.6,5,746
2016.11.7,2,748
2016.11.8,4,755
2016.11.9,2,756
2016.11.10,0,755
2016.11.11,-1,762
2016.11.12,1,767
2016.11.13,3,768
2016.11.14,4,770
2016.11.15,2,764
2016.11.16,4,756
2016.11.17,7,752
2016.11.18,8,751
2016.11.19,9,758
2016.11.20,8,761
2016.11.21,10,761
2016.11.22,6,764
2016.11.23,5,764
2016.11.24,7,764
2016.11.25,6,764
2016.11.26,4,752
2016.11.27,2,748
2016.11.28,-1,761
2016.11.29,1,766
2016.11.30,3,755
2016.12.1,4,751
2016.12.2,1,751
2016.12.3,0,761
2016.12.4,-2,768
2016.12.5,3,760
2016.12.6,2,765
2016.12.7,1,771
2016.12.8,8,755
2016.12.9,7,755
2016.12.10,8,752
2016.12.11,7,749
2016.12.12,-4,764
2016.12.13,-1,764
2016.12.14,2,759
2016.12.15,2,772
2016.12.16,0,773
2016.12.17,1,772
2016.12.18,1,769
2016.12.19,2,768
2016.12.20,5,771
2016.12.21,2,768
2016.12.22,2,768
2016.12.23,2,767
2016.12.24,2,758
2016.12.25,5,755
2016.12.26,10,752
2016.12.27,4,751
2016.12.28,3,768
2016.12.29,2,776
2016.12.30,3,770
2016.12.31,1,764
2017.1.1,3,755
2017.1.2,2,750
2017.1.3,0,752
2017.1.4,1,734
2017.1.5,-9,762
2017.1.6,-14,776
2017.1.7,-9,769
2017.1.8,-7,770
2017.1.9,-4,767
2017.1.10,-6,764
2017.1.11,-5,757
2017.1.12,2,743
2017.1.13,1,741
2017.1.14,-1,746
2017.1.15,-1,755
2017.1.16,0,764
2017.1.17,-1,774
2017.1.18,-1,776
2017.1.19,-2,771
2017.1.20,3,767
2017.1.21,3,770
2017.1.22,0,771
2017.1.23,-1,764
2017.1.24,2,764
2017.1.25,1,770
2017.1.26,1,770
2017.1.27,1,767
2017.1.28,0,768
2017.1.29,-1,766
2017.1.30,0,764
2017.1.31,-3,765
2017.2.1,-2,767
2017.2.2,0,761
2017.2.3,-1,758
2017.2.4,1,757
2017.2.5,-1,757
2017.2.6,-4,765
2017.2.7,-8,770
2017.2.8,-9,776
2017.2.9,-5,777
2017.2.10,0,778
2017.2.11,-2,777
2017.2.12,-2,779
2017.2.13,-6,777
2017.2.14,6,771
2017.2.15,2,775
2017.2.16,6,765
2017.2.17,4,760
2017.2.18,3,763
2017.2.19,3,759
2017.2.20,5,751
2017.2.21,5,743
2017.2.22,1,740
2017.2.23,5,741
2017.2.24,0,743
2017.2.25,4,757
2017.2.26,3,750
2017.2.27,7,754
2017.2.28,9,745
2017.3.1,8,746
2017.3.2,6,747
2017.3.3,5,755
2017.3.4,9,751
2017.3.5,8,749
2017.3.6,0,748
2017.3.7,1,754
2017.3.8,3,766
2017.3.9,5,760
2017.3.10,4,761
2017.3.11,5,764
2017.3.12,4,767
2017.3.13,6,768
2017.3.14,9,767
2017.3.15,7,759
2017.3.16,9,760
2017.3.17,8,750
2017.3.18,5,743
2017.3.19,6,749
2017.3.20,5,751
2017.3.21,10,751
2017.3.22,10,761
2017.3.23,12,767
2017.3.24,10,767
2017.3.25,5,761
2017.3.26,9,766
2017.3.27,14,762
2017.3.28,14,761
2017.3.29,11,757
2017.3.30,9,767
2017.3.31,12,761
2017.4.1,22,757
2017.4.2,23,757
2017.4.3,12,765
2017.4.4,16,767
2017.4.5,9,759
2017.4.6,8,755
2017.4.7,8,756
2017.4.8,11,763
2017.4.9,9,765
2017.4.10,19,755
2017.4.11,8,755
2017.4.12,6,752
2017.4.13,8,749
2017.4.14,7,751
2017.4.15,9,753
2017.4.16,5,755
2017.4.17,4,761
2017.4.18,5,767
2017.4.19,4,771
2017.4.20,8,770
2017.4.21,7,757
2017.4.22,7,752
2017.4.23,9,755
2017.4.24,8,757
2017.4.25,14,748
2017.4.26,8,756
2017.4.27,12,758
2017.4.28,6,758
2017.4.29,7,755
2017.4.30,9,766
2017.5.1,13,766
2017.5.2,15,767
2017.5.3,17,767
2017.5.4,17,764
2017.5.5,18,764
2017.5.6,22,758
2017.5.7,13,753
2017.5.8,11,754
2017.5.9,4,757
2017.5.10,4,755
2017.5.11,9,756
2017.5.12,15,757
2017.5.13,19,759
2017.5.14,21,764
2017.5.15,16,766
2017.5.16,17,770
2017.5.17,20,767
2017.5.18,24,762
2017.5.19,26,760
2017.5.20,26,758
2017.5.21,22,761
2017.5.22,22,761
2017.5.23,20,758
2017.5.24,20,756
2017.5.25,19,759
2017.5.26,17,761
2017.5.27,21,765
2017.5.28,27,763
2017.5.29,17,756
2017.5.30,22,757
2017.5.31,18,755
2017.6.1,15,758
2017.6.2,17,759
2017.6.3,17,763
2017.6.4,18,756
2017.6.5,17,758
2017.6.6,22,758
2017.6.7,18,757
2017.6.8,16,761
2017.6.9,21,761
2017.6.10,27,759
2017.6.11,22,761
2017.6.12,17,750
2017.6.13,15,751
2017.6.14,19,757
2017.6.15,20,759
2017.6.16,22,754
2017.6.17,18,758
2017.6.18,22,763
2017.6.19,24,761
2017.6.20,25,754
2017.6.21,19,757
2017.6.22,20,756
2017.6.23,21,752
2017.6.24,17,753
2017.6.25,20,752
2017.6.26,17,752
2017.6.27,19,757
2017.6.28,23,754
2017.6.29,24,746
2017.6.30,17,743
2017.7.1,17,749
2017.7.2,14,751
2017.7.3,18,758
2017.7.4,15,756
2017.7.5,13,759
2017.7.6,19,761
2017.7.7,21,761
2017.7.8,21,756
2017.7.9,21,758
2017.7.10,25,757
2017.7.11,23,752
2017.7.12,24,754
2017.7.13,18,754
2017.7.14,19,758
2017.7.15,19,761
2017.7.16,22,762
2017.7.17,19,760
2017.7.18,19,762
2017.7.19,22,761
2017.7.20,23,758
2017.7.21,17,759
2017.7.22,23,761
2017.7.23,21,759
2017.7.24,19,754
2017.7.25,22,749
2017.7.26,19,746
2017.7.27,25,750
2017.7.28,24,753
2017.7.29,22,758
2017.7.30,27,758
2017.7.31,24,758
2017.8.1,24,761
2017.8.2,23,760
2017.8.3,24,758
2017.8.4,23,755
2017.8.5,22,756
2017.8.6,19,760
2017.8.7,21,764
2017.8.8,24,765
2017.8.9,25,761
2017.8.10,20,761
2017.8.11,26,759
2017.8.12,24,755
2017.8.13,21,759
2017.8.14,20,766
2017.8.15,22,767
2017.8.16,26,762
2017.8.17,23,763
2017.8.18,28,759
2017.8.19,18,758
2017.8.20,19,761
2017.8.21,20,758
2017.8.22,14,758
2017.8.23,16,758
2017.8.24,18,757
2017.8.25,19,758
2017.8.26,21,761
2017.8.27,15,755
2017.8.28,18,761
2017.8.29,19,763
2017.8.30,23,761
2017.8.31,25,756
2017.9.1,17,761
2017.9.2,15,755
2017.9.3,17,755
2017.9.4,15,752
2017.9.5,16,758
2017.9.6,13,756
2017.9.7,14,750
2017.9.8,15,753
2017.9.9,21,751
2017.9.10,22,751
2017.9.11,17,751
2017.9.12,18,751
2017.9.13,19,749
2017.9.14,17,745
2017.9.15,16,752
2017.9.16,19,759
2017.9.17,14,757
2017.9.18,12,747
2017.9.19,14,759
2017.9.20,18,761
2017.9.21,12,759
2017.9.22,15,761
2017.9.23,18,763
2017.9.24,20,767
2017.9.25,19,770
2017.9.26,20,773
2017.9.27,19,775
2017.9.28,18,774
2017.9.29,15,773
2017.9.30,15,769
2017.10.1,12,769
2017.10.2,15,763
2017.10.3,13,754
2017.10.4,12,755
2017.10.5,9,744
2017.10.6,15,747
2017.10.7,13,754
2017.10.8,11,750
2017.10.9,10,748
2017.10.10,10,752
2017.10.11,15,753
2017.10.12,13,752
2017.10.13,11,757
2017.10.14,13,759
2017.10.15,15,764
2017.10.16,21,761
2017.10.17,17,761
2017.10.18,15,758
2017.10.19,12,762
2017.10.20,13,762
2017.10.21,8,759
2017.10.22,6,761
2017.10.23,4,760
2017.10.24,6,768
2017.10.25,5,761
2017.10.26,12,756
2017.10.27,9,752
2017.10.28,9,743
2017.10.29,7,731
2017.10.30,4,748
2017.10.31,6,757
2017.11.1,8,755
2017.11.2,10,747
2017.11.3,9,757
2017.11.4,11,759
2017.11.5,10,755
2017.11.6,8,760
2017.11.7,7,769
2017.11.8,9,767
2017.11.9,5,763
2017.11.10,6,754
2017.11.11,6,746
2017.11.12,7,746
2017.11.13,4,752
2017.11.14,6,761
2017.11.15,6,764
2017.11.16,7,767
2017.11.17,6,761
2017.11.18,6,755
2017.11.19,5,747
2017.11.20,4,750
2017.11.21,3,756
2017.11.22,0,758
2017.11.23,7,756
2017.11.24,8,756
2017.11.25,7,755
2017.11.26,5,755
2017.11.27,4,755
2017.11.28,3,754
2017.11.29,3,754
2017.11.30,2,753
2017.12.1,1,749
2017.12.2,3,764
2017.12.3,1,762
2017.12.4,3,754
2017.12.5,2,759
2017.12.6,3,755
2017.12.7,7,755
2017.12.8,5,747
2017.12.9,2,750
2017.12.10,2,748
2017.12.11,2,743
2017.12.12,9,743
2017.12.13,0,755
2017.12.14,1,741
2017.12.15,3,746
2017.12.16,-1,749
2017.12.17,2,759
2017.12.18,-2,767
2017.12.19,-1,768
2017.12.20,1,770
2017.12.21,0,761
2017.12.22,4,761
2017.12.23,1,753
2017.12.24,6,752
2017.12.25,7,754
2017.12.26,6,749
2017.12.27,3,747
2017.12.28,7,743
2017.12.29,3,749
2017.12.30,3,755
2017.12.31,2,749

2018.1.1,9,746
2018.1.2,5,752
2018.1.3,3,745
2018.1.4,6,741
2018.1.5,5,741
2018.1.6,4,752
2018.1.7,2,769
2018.1.8,3,773
2018.1.9,2,773
2018.1.10,0,764
2018.1.11,-3,765
2018.1.12,-2,775
2018.1.13,0,779
2018.1.14,-6,776
2018.1.15,-7,768
2018.1.16,-4,749
2018.1.17,-4,740
2018.1.18,3,746
2018.1.19,-2,747
2018.1.20,-2,754
2018.1.21,-3,758
2018.1.22,-7,762
2018.1.23,-5,768
2018.1.24,1,761
2018.1.25,5,758
2018.1.26,3,761
2018.1.27,3,768
2018.1.28,4,758
2018.1.29,4,752
2018.1.30,3,755
2018.1.31,3,757
2018.2.1,4,747
2018.2.2,3,752
2018.2.3,1,752
2018.2.4,2,761
2018.2.5,-3,766
2018.2.6,-1,759
2018.2.7,0,763
2018.2.8,-4,763
2018.2.9,-4,764
2018.2.10,-5,761
2018.2.11,-2,755
2018.2.12,0,755
2018.2.13,4,761
2018.2.14,1,764
2018.2.15,-2,767
2018.2.16,-1,761
2018.2.17,2,762
2018.2.18,0,767
2018.2.19,1,766
2018.2.20,4,766
2018.2.21,-1,766
2018.2.22,-5,770
2018.2.23,-5,768
2018.2.24,-10,771
2018.2.25,-10,771
2018.2.26,-8,769
2018.2.27,-11,769
2018.2.28,-12,772
2018.3.1,-12,765
2018.3.2,-5,756
2018.3.3,-7,752
2018.3.4,-2,754
2018.3.5,-1,753
2018.3.6,4,748
2018.3.7,0,746
2018.3.8,3,749
2018.3.9,4,750
2018.3.10,2,755
2018.3.11,4,752
2018.3.12,9,746
2018.3.13,9,743
2018.3.14,3,753
2018.3.15,0,759
2018.3.16,-4,761
2018.3.17,-3,764
2018.3.18,0,767
2018.3.19,5,759
2018.3.20,3,755
2018.3.21,2,763
2018.3.22,2,756
2018.3.23,4,753
2018.3.24,7,755
2018.3.25,9,755
2018.3.26,9,755
2018.3.27,3,759
2018.3.28,3,759
2018.3.29,2,754
2018.3.30,4,754
2018.3.31,8,753
2018.4.1,5,741
2018.4.2,2,749
2018.4.3,7,755
2018.4.4,18,753
2018.4.5,18,750
2018.4.6,9,761
2018.4.7,14,768
2018.4.8,22,761
2018.4.9,23,752
2018.4.10,20,757
2018.4.11,12,761
2018.4.12,15,761
2018.4.13,19,761
2018.4.14,22,761
2018.4.15,21,762
2018.4.16,18,758
2018.4.17,12,763
2018.4.18,15,769
2018.4.19,16,768
2018.4.20,20,766
2018.4.21,15,758
2018.4.22,16,759
2018.4.23,18,756
2018.4.24,14,755
2018.4.25,11,747
2018.4.26,12,754
2018.4.27,13,759
2018.4.28,18,758
2018.4.29,23,757
2018.4.30,26,752
2018.5.1,23,755
2018.5.2,17,762
2018.5.3,26,755
2018.5.4,15,764
2018.5.5,16,767
2018.5.6,18,767
2018.5.7,22,765
2018.5.8,24,761
2018.5.9,24,758
2018.5.10,27,759
2018.5.11,27,762
2018.5.12,24,764
2018.5.13,27,761
2018.5.14,24,762
2018.5.15,15,760
2018.5.16,24,756
2018.5.17,19,752
2018.5.18,15,755
2018.5.19,18,762
2018.5.20,20,767
2018.5.21,22,767
2018.5.22,22,761
2018.5.23,21,765
2018.5.24,24,767
2018.5.25,25,764
2018.5.26,21,767
2018.5.27,27,766
2018.5.28,28,767
2018.5.29,29,765
2018.5.30,30,762
2018.5.31,26,762
2018.6.1,27,761
2018.6.2,26,758
2018.6.3,27,758
2018.6.4,27,753
2018.6.5,16,755
2018.6.6,17,764
2018.6.7,21,764
2018.6.8,25,760
2018.6.9,25,759
2018.6.10,29,757
2018.6.11,22,752
2018.6.12,17,752
2018.6.13,21,754
2018.6.14,20,758
2018.6.15,24,759
2018.6.16,25,761
2018.6.17,27,759
2018.6.18,25,761
2018.6.19,19,760
2018.6.20,23,762
2018.6.21,30,751
2018.6.22,17,755
2018.6.23,18,756
2018.6.24,17,756
2018.6.25,14,759
2018.6.26,17,764
2018.6.27,27,767
2018.6.28,29,763
2018.6.29,24,755
2018.6.30,18,758
2018.7.1,14,758
2018.7.2,12,755
2018.7.3,16,756
2018.7.4,24,755
2018.7.5,25,753
2018.7.6,23,755
2018.7.7,24,758
2018.7.8,24,760
2018.7.9,25,758
2018.7.10,24,760
2018.7.11,27,758
2018.7.12,19,756
2018.7.13,23,755
